Day,Date,Month,Outlook,Temperature,Humidity,Wind,PlayTennis
D125,05-May,May,Rain,Hot,Normal,Strong,No
D126,06-May,May,Overcast,Cool,High,Weak,Yes
D127,07-May,May,Sunny,Mild,High,Weak,No
D128,08-May,May,Sunny,Hot,High,Strong,No
D129,09-May,May,Overcast,Hot,Normal,Weak,Yes
D130,10-May,May,Sunny,Cool,High,Weak,No
D131,11-May,May,Overcast,Hot,Normal,Weak,Yes
D132,12-May,May,Overcast,Mild,Normal,Strong,Yes
D133,13-May,May,Sunny,Hot,High,Weak,No
D134,14-May,May,Rain,Hot,Normal,Weak,Yes
D135,15-May,May,Sunny,Mild,Normal,Strong,Yes
D136,16-May,May,Overcast,Mild,High,Strong,Yes
D137,17-May,May,Sunny,Mild,Normal,Weak,Yes
D138,18-May,May,Overcast,Cool,Normal,Weak,Yes
D139,19-May,May,Sunny,Mild,Normal,Weak,Yes
D140,20-May,May,Sunny,Mild,Normal,Strong,Yes
D141,21-May,May,Rain,Hot,Normal,Strong,No
D142,22-May,May,Overcast,Mild,High,Weak,Yes
D143,23-May,May,Overcast,Mild,Normal,Weak,Yes
D144,24-May,May,Overcast,Mild,High,Weak,Yes
D145,25-May,May,Rain,Mild,High,Weak,Yes
D146,26-May,May,Sunny,Mild,Normal,Strong,Yes
D147,27-May,May,Overcast,Hot,Normal,Weak,Yes
D148,28-May,May,Sunny,Cool,Normal,Strong,Yes
D149,29-May,May,Sunny,Mild,High,Weak,No
D150,30-May,May,Overcast,Hot,High,Weak,Yes
D151,31-May,May,Sunny,Mild,Normal,Weak,Yes
D152,01-Jun,June,Rain,Mild,Normal,Weak,Yes
D153,02-Jun,June,Sunny,Hot,Normal,Weak,Yes
D154,03-Jun,June,Rain,Hot,Normal,Weak,Yes
D155,04-Jun,June,Overcast,Hot,Normal,Strong,Yes
D156,05-Jun,June,Sunny,Hot,High,Strong,No
D157,06-Jun,June,Sunny,Mild,High,Strong,No
D158,07-Jun,June,Sunny,Mild,Normal,Weak,Yes
D159,08-Jun,June,Sunny,Hot,High,Strong,No
D160,09-Jun,June,Sunny,Cool,Normal,Strong,Yes
D161,10-Jun,June,Overcast,Hot,Normal,Strong,Yes
D162,11-Jun,June,Overcast,Hot,Normal,Weak,Yes
D163,12-Jun,June,Sunny,Hot,High,Strong,No
D164,13-Jun,June,Overcast,Hot,Normal,Weak,Yes
D165,14-Jun,June,Sunny,Mild,High,Strong,No
D166,15-Jun,June,Rain,Hot,Normal,Strong,No
D167,16-Jun,June,Overcast,Mild,Normal,Strong,Yes
D168,17-Jun,June,Sunny,Hot,Normal,Weak,Yes
D169,18-Jun,June,Overcast,Hot,Normal,Weak,Yes
D170,19-Jun,June,Overcast,Mild,High,Strong,Yes
D171,20-Jun,June,Rain,Hot,High,Strong,No
D172,21-Jun,June,Sunny,Hot,Normal,Strong,Yes
D173,22-Jun,June,Sunny,Mild,Normal,Weak,Yes
D174,23-Jun,June,Rain,Mild,Normal,Weak,Yes
D175,24-Jun,June,Rain,Mild,Normal,Weak,Yes
D176,25-Jun,June,Rain,Mild,Normal,Strong,No
D177,26-Jun,June,Sunny,Hot,Normal,Weak,Yes
D178,27-Jun,June,Sunny,Hot,Normal,Weak,Yes
D179,28-Jun,June,Overcast,Hot,Normal,Strong,Yes
D180,29-Jun,June,Sunny,Hot,High,Strong,No
D181,30-Jun,June,Sunny,Mild,Normal,Weak,Yes
D182,01-Jul,July,Overcast,Mild,Normal,Weak,Yes
D183,02-Jul,July,Sunny,Mild,Normal,Weak,Yes
D184,03-Jul,July,Overcast,Hot,Normal,Weak,Yes
D185,04-Jul,July,Sunny,Hot,High,Weak,No
D186,05-Jul,July,Rain,Mild,High,Weak,Yes
D187,06-Jul,July,Sunny,Mild,Normal,Weak,Yes
D188,07-Jul,July,Sunny,Hot,High,Weak,No
D189,08-Jul,July,Sunny,Hot,Normal,Weak,Yes
D190,09-Jul,July,Sunny,Hot,High,Weak,No
D191,10-Jul,July,Overcast,Hot,Normal,Strong,Yes
D192,11-Jul,July,Sunny,Mild,High,Weak,No
D193,12-Jul,July,Sunny,Mild,Normal,Strong,Yes
D194,13-Jul,July,Sunny,Hot,Normal,Strong,Yes
D195,14-Jul,July,Overcast,Mild,Normal,Strong,Yes
D196,15-Jul,July,Overcast,Hot,Normal,Weak,Yes
D197,16-Jul,July,Sunny,Mild,Normal,Strong,Yes
D198,17-Jul,July,Sunny,Hot,Normal,Weak,Yes
D199,18-Jul,July,Overcast,Mild,High,Weak,Yes
D200,19-Jul,July,Sunny,Mild,Normal,Weak,Yes
D201,20-Jul,July,Sunny,Hot,Normal,Weak,Yes
D202,21-Jul,July,Sunny,Hot,Normal,Weak,Yes
D203,22-Jul,July,Sunny,Hot,Normal,Weak,Yes
D204,23-Jul,July,Sunny,Hot,Normal,Strong,Yes
D205,24-Jul,July,Overcast,Cool,Normal,Weak,Yes
D206,25-Jul,July,Overcast,Hot,Normal,Weak,Yes
D207,26-Jul,July,Overcast,Hot,High,Weak,Yes
D208,27-Jul,July,Sunny,Mild,Normal,Weak,Yes
D209,28-Jul,July,Sunny,Hot,Normal,Weak,Yes
D210,29-Jul,July,Rain,Hot,Normal,Weak,Yes
D211,30-Jul,July,Sunny,Hot,Normal,Weak,Yes
D212,31-Jul,July,Overcast,Mild,High,Weak,Yes
D213,01-Aug,August,Rain,Mild,Normal,Strong,No
D214,02-Aug,August,Sunny,Hot,Normal,Weak,Yes
D215,03-Aug,August,Rain,Hot,High,Weak,Yes
D216,04-Aug,August,Overcast,Hot,Normal,Weak,Yes
D217,05-Aug,August,Sunny,Mild,High,Weak,No
D218,06-Aug,August,Sunny,Hot,Normal,Weak,Yes
D219,07-Aug,August,Sunny,Hot,Normal,Weak,Yes
D220,08-Aug,August,Sunny,Mild,High,Weak,No
D221,09-Aug,August,Sunny,Hot,High,Weak,No
D222,10-Aug,August,Overcast,Mild,High,Weak,Yes
D223,11-Aug,August,Sunny,Hot,Normal,Weak,Yes
D224,12-Aug,August,Sunny,Mild,High,Weak,No
D225,13-Aug,August,Sunny,Hot,Normal,Weak,Yes
D226,14-Aug,August,Overcast,Hot,Normal,Weak,Yes
D227,15-Aug,August,Sunny,Hot,Normal,Weak,Yes
D228,16-Aug,August,Sunny,Hot,High,Weak,No
D229,17-Aug,August,Sunny,Mild,Normal,Weak,Yes
D230,18-Aug,August,Rain,Hot,Normal,Weak,Yes
D231,19-Aug,August,Rain,Mild,Normal,Weak,Yes
D232,20-Aug,August,Rain,Hot,High,Weak,Yes
D233,21-Aug,August,Rain,Hot,High,Weak,Yes
D234,22-Aug,August,Sunny,Hot,Normal,Weak,Yes
D235,23-Aug,August,Sunny,Mild,Normal,Weak,Yes
D236,24-Aug,August,Overcast,Hot,Normal,Weak,Yes
D237,25-Aug,August,Sunny,Hot,Normal,Strong,Yes
D238,26-Aug,August,Overcast,Mild,Normal,Weak,Yes
D239,27-Aug,August,Overcast,Mild,High,Weak,Yes
D240,28-Aug,August,Sunny,Hot,High,Weak,No
D241,29-Aug,August,Rain,Hot,Normal,Weak,Yes
D242,30-Aug,August,Sunny,Hot,High,Weak,No
D243,31-Aug,August,Rain,Mild,High,Strong,No
D244,01-Sep,September,Overcast,Mild,High,Weak,Yes
D245,02-Sep,September,Sunny,Mild,High,Weak,No
D246,03-Sep,September,Sunny,Mild,High,Weak,No
D247,04-Sep,September,Rain,Mild,Normal,Weak,Yes
D248,05-Sep,September,Overcast,Hot,High,Strong,Yes
D249,06-Sep,September,Rain,Hot,Normal,Strong,No
D250,07-Sep,September,Sunny,Hot,Normal,Weak,Yes
D251,08-Sep,September,Sunny,Mild,Normal,Weak,Yes
D252,09-Sep,September,Sunny,Hot,High,Strong,No
D253,10-Sep,September,Overcast,Hot,Normal,Weak,Yes
D254,11-Sep,September,Rain,Cool,Normal,Strong,No
D255,12-Sep,September,Sunny,Mild,High,Weak,No
D256,13-Sep,September,Sunny,Hot,Normal,Weak,Yes
D257,14-Sep,September,Sunny,Mild,High,Weak,No
D258,15-Sep,September,Sunny,Cool,High,Strong,No
D259,16-Sep,September,Rain,Cool,High,Weak,Yes
D260,17-Sep,September,Sunny,Hot,High,Strong,No
D261,18-Sep,September,Overcast,Mild,Normal,Weak,Yes
D262,19-Sep,September,Overcast,Mild,High,Weak,Yes
D263,20-Sep,September,Overcast,Cool,Normal,Weak,Yes
D264,21-Sep,September,Rain,Hot,Normal,Strong,No
D265,22-Sep,September,Rain,Hot,Normal,Weak,Yes
D266,23-Sep,September,Overcast,Cool,High,Weak,Yes
D267,24-Sep,September,Sunny,Hot,Normal,Weak,Yes
D268,25-Sep,September,Sunny,Mild,Normal,Weak,Yes
D269,26-Sep,September,Rain,Cool,Normal,Weak,Yes
D270,27-Sep,September,Rain,Mild,Normal,Strong,No
D271,28-Sep,September,Rain,Hot,High,Weak,Yes
D272,29-Sep,September,Sunny,Cool,High,Weak,No
D273,30-Sep,September,Sunny,Hot,Normal,Strong,Yes
D274,01-Oct,October,Overcast,Cool,High,Weak,Yes
D275,02-Oct,October,Overcast,Mild,Normal,Weak,Yes
D276,03-Oct,October,Rain,Cool,High,Weak,Yes
D277,04-Oct,October,Overcast,Mild,Normal,Weak,Yes
D278,05-Oct,October,Rain,Hot,Normal,Strong,No
D279,06-Oct,October,Overcast,Cool,High,Weak,Yes
D280,07-Oct,October,Rain,Mild,Normal,Weak,Yes
D281,08-Oct,October,Overcast,Mild,Normal,Weak,Yes
D282,09-Oct,October,Rain,Cool,Normal,Weak,Yes
D283,10-Oct,October,Sunny,Cool,Normal,Strong,Yes
D284,11-Oct,October,Rain,Cool,Normal,Weak,Yes
D285,12-Oct,October,Rain,Cool,Normal,Strong,No
D286,13-Oct,October,Overcast,Cool,High,Strong,Yes
D287,14-Oct,October,Rain,Mild,Normal,Weak,Yes
D288,15-Oct,October,Sunny,Cool,High,Weak,No
D289,16-Oct,October,Overcast,Cool,Normal,Weak,Yes
D290,17-Oct,October,Rain,Cool,Normal,Strong,No
D291,18-Oct,October,Rain,Cool,Normal,Weak,Yes
D292,19-Oct,October,Overcast,Cool,High,Weak,Yes
D293,20-Oct,October,Sunny,Hot,High,Strong,No
D294,21-Oct,October,Sunny,Hot,High,Weak,No
D295,22-Oct,October,Sunny,Hot,Normal,Weak,Yes
D296,23-Oct,October,Overcast,Mild,High,Weak,Yes
D297,24-Oct,October,Sunny,Cool,Normal,Weak,Yes
D298,25-Oct,October,Rain,Mild,Normal,Weak,Yes
D299,26-Oct,October,Sunny,Cool,High,Weak,No
D300,27-Oct,October,Rain,Mild,Normal,Strong,No
D301,28-Oct,October,Overcast,Cool,Normal,Weak,Yes
D302,29-Oct,October,Rain,Hot,High,Strong,No
D303,30-Oct,October,Sunny,Mild,High,Weak,No
D304,31-Oct,October,Overcast,Hot,Normal,Weak,Yes
D305,01-Nov,November,Overcast,Cool,High,Strong,Yes
D306,02-Nov,November,Rain,Mild,Normal,Strong,No
D307,03-Nov,November,Overcast,Cool,Normal,Weak,Yes
D308,04-Nov,November,Rain,Mild,High,Weak,Yes
D309,05-Nov,November,Rain,Mild,High,Strong,No
D310,06-Nov,November,Sunny,Cool,High,Strong,No
D311,07-Nov,November,Sunny,Hot,High,Strong,No
D312,08-Nov,November,Sunny,Mild,High,Weak,No
D313,09-Nov,November,Overcast,Mild,High,Strong,Yes
D314,10-Nov,November,Rain,Mild,Normal,Strong,No
D315,11-Nov,November,Overcast,Mild,High,Strong,Yes
D316,12-Nov,November,Sunny,Cool,High,Weak,No
D317,13-Nov,November,Rain,Mild,High,Strong,No
D318,14-Nov,November,Rain,Cool,High,Weak,Yes
D319,15-Nov,November,Sunny,Cool,High,Strong,No
D320,16-Nov,November,Rain,Mild,Normal,Weak,Yes
D321,17-Nov,November,Sunny,Cool,Normal,Strong,Yes
D322,18-Nov,November,Overcast,Mild,Normal,Weak,Yes
D323,19-Nov,November,Rain,Mild,High,Strong,No
D324,20-Nov,November,Overcast,Mild,High,Weak,Yes
D325,21-Nov,November,Overcast,Cool,High,Weak,Yes
D326,22-Nov,November,Overcast,Mild,Normal,Weak,Yes
D327,23-Nov,November,Overcast,Hot,High,Strong,Yes
D328,24-Nov,November,Rain,Cool,High,Strong,No
D329,25-Nov,November,Overcast,Cool,High,Strong,Yes
D330,26-Nov,November,Sunny,Mild,High,Weak,No
D331,27-Nov,November,Overcast,Mild,High,Strong,Yes
D332,28-Nov,November,Overcast,Cool,High,Strong,Yes
D333,29-Nov,November,Overcast,Mild,Normal,Strong,Yes
D334,30-Nov,November,Rain,Cool,Normal,Strong,No
D335,01-Dec,December,Rain,Cool,High,Strong,No
D336,02-Dec,December,Rain,Cool,Normal,Strong,No
D337,03-Dec,December,Overcast,Cool,Normal,Weak,Yes
D338,04-Dec,December,Rain,Cool,High,Strong,No
D339,05-Dec,December,Overcast,Mild,Normal,Strong,Yes
D340,06-Dec,December,Rain,Hot,Normal,Weak,Yes
D341,07-Dec,December,Sunny,Mild,Normal,Strong,Yes
D342,08-Dec,December,Overcast,Cool,Normal,Strong,Yes
D343,09-Dec,December,Rain,Mild,High,Strong,No
D344,10-Dec,December,Rain,Cool,High,Strong,No
D345,11-Dec,December,Rain,Mild,High,Strong,No
D346,12-Dec,December,Overcast,Mild,High,Weak,Yes
D347,13-Dec,December,Sunny,Cool,Normal,Weak,Yes
D348,14-Dec,December,Sunny,Mild,High,Strong,No
D349,15-Dec,December,Sunny,Cool,Normal,Strong,Yes
D350,16-Dec,December,Overcast,Cool,High,Strong,Yes
D351,17-Dec,December,Rain,Cool,High,Weak,Yes
D352,18-Dec,December,Rain,Cool,Normal,Weak,Yes
D353,19-Dec,December,Sunny,Cool,High,Strong,No
D354,20-Dec,December,Rain,Hot,High,Strong,No
D355,21-Dec,December,Rain,Cool,Normal,Strong,No
D356,22-Dec,December,Rain,Cool,Normal,Weak,Yes
D357,23-Dec,December,Rain,Cool,High,Weak,Yes
D358,24-Dec,December,Rain,Cool,Normal,Strong,No
D359,25-Dec,December,Overcast,Hot,Normal,Weak,Yes
D360,26-Dec,December,Rain,Cool,High,Weak,Yes
D361,27-Dec,December,Rain,Mild,High,Weak,Yes
D362,28-Dec,December,Rain,Mild,High,Weak,Yes
D363,29-Dec,December,Rain,Cool,High,Strong,No
D364,30-Dec,December,Sunny,Mild,High,Weak,No
D365,31-Dec,December,Rain,Cool,Normal,Strong,No
