Datetime,Energy_Consumption_kWh,Temperature_C,Humidity_Pct,Hour_of_Day,Day_of_Week,Is_Weekend
2024-01-02 08:00:00,3.567,2.61,58.1,8,1,0
2024-01-02 09:00:00,3.294,2.14,50.3,9,1,0
2024-01-02 10:00:00,2.432,3.72,58.1,10,1,0
2024-01-02 11:00:00,2.207,3.22,59.1,11,1,0
2024-01-02 12:00:00,2.073,5.01,66.3,12,1,0
2024-01-02 13:00:00,2.175,4.8,68.9,13,1,0
2024-01-02 14:00:00,2.053,6.34,70.6,14,1,0
2024-01-02 15:00:00,1.809,8.43,77.1,15,1,0
2024-01-02 16:00:00,1.731,9.84,83.4,16,1,0
2024-01-02 17:00:00,2.011,10.44,78.9,17,1,0
2024-01-02 18:00:00,2.666,10.98,82.2,18,1,0
2024-01-02 19:00:00,3.246,11.33,75.6,19,1,0
2024-01-02 20:00:00,3.627,10.78,75.1,20,1,0
2024-01-02 21:00:00,3.422,11.08,77.0,21,1,0
2024-01-02 22:00:00,2.708,10.79,77.0,22,1,0
2024-01-02 23:00:00,2.258,10.99,69.9,23,1,0
2024-01-03 00:00:00,1.565,9.63,64.1,0,2,0
2024-01-03 01:00:00,1.742,7.29,61.1,1,2,0
2024-01-03 02:00:00,1.738,7.38,53.7,2,2,0
2024-01-03 03:00:00,4.236,5.79,56.2,3,2,0
2024-01-03 04:00:00,1.967,4.54,54.7,4,2,0
2024-01-03 05:00:00,2.167,4.38,49.2,5,2,0
2024-01-03 06:00:00,2.462,3.92,48.6,6,2,0
2024-01-03 07:00:00,3.035,3.42,51.3,7,2,0
2024-01-03 08:00:00,3.47,2.2,50.7,8,2,0
2024-01-03 09:00:00,3.122,2.68,54.2,9,2,0
2024-01-03 10:00:00,2.382,3.52,63.8,10,2,0
2024-01-03 11:00:00,2.206,4.62,60.4,11,2,0
2024-01-03 12:00:00,2.015,4.68,63.9,12,2,0
2024-01-03 13:00:00,2.022,5.95,66.9,13,2,0
2024-01-03 14:00:00,1.981,6.57,74.7,14,2,0
2024-01-03 15:00:00,1.674,7.68,75.1,15,2,0
2024-01-03 16:00:00,1.571,9.97,76.0,16,2,0
2024-01-03 17:00:00,1.975,11.24,83.5,17,2,0
2024-01-03 18:00:00,2.611,11.1,84.3,18,2,0
2024-01-03 19:00:00,3.266,12.2,77.7,19,2,0
2024-01-03 20:00:00,3.55,11.97,72.4,20,2,0
2024-01-03 21:00:00,3.285,11.22,78.6,21,2,0
2024-01-03 22:00:00,2.687,11.37,70.4,22,2,0
2024-01-03 23:00:00,2.156,11.37,71.3,23,2,0
2024-01-04 00:00:00,1.691,9.5,59.1,0,3,0
2024-01-04 01:00:00,1.417,9.37,63.8,1,3,0
2024-01-04 02:00:00,1.91,5.7,53.9,2,3,0
2024-01-04 03:00:00,1.778,6.61,56.6,3,3,0
2024-01-04 04:00:00,1.94,5.08,52.1,4,3,0
2024-01-04 05:00:00,2.082,3.92,47.6,5,3,0
2024-01-04 06:00:00,2.5,3.45,48.8,6,3,0
2024-01-04 07:00:00,3.244,1.75,52.6,7,3,0
2024-01-04 08:00:00,3.461,2.66,52.3,8,3,0
2024-01-04 09:00:00,3.047,3.17,56.1,9,3,0
2024-01-04 10:00:00,2.279,4.29,63.4,10,3,0
2024-01-04 11:00:00,2.195,3.81,56.4,11,3,0
2024-01-04 12:00:00,2.178,4.58,69.9,12,3,0
2024-01-04 13:00:00,2.123,5.85,69.2,13,3,0
2024-01-04 14:00:00,1.826,7.87,69.8,14,3,0
2024-01-04 15:00:00,1.764,8.68,71.6,15,3,0
2024-01-04 16:00:00,1.771,9.26,77.4,16,3,0
2024-01-04 17:00:00,2.156,10.82,82.3,17,3,0
2024-01-04 18:00:00,2.654,11.29,79.6,18,3,0
2024-01-04 19:00:00,4.652,12.26,84.0,19,3,0
2024-01-04 20:00:00,3.622,11.42,73.6,20,3,0
2024-01-04 21:00:00,3.216,11.49,75.6,21,3,0
2024-01-04 22:00:00,2.666,11.01,68.7,22,3,0
2024-01-04 23:00:00,2.215,9.66,70.0,23,3,0
2024-01-05 00:00:00,1.589,9.78,67.7,0,4,0
2024-01-05 01:00:00,1.604,8.68,59.9,1,4,0
2024-01-05 02:00:00,1.748,7.37,49.7,2,4,0
2024-01-05 03:00:00,1.77,6.06,55.0,3,4,0
2024-01-05 04:00:00,2.049,4.27,53.3,4,4,0
2024-01-05 05:00:00,2.106,3.94,51.7,5,4,0
2024-01-05 06:00:00,2.482,3.28,53.7,6,4,0
2024-01-05 07:00:00,3.139,2.55,47.3,7,4,0
2024-01-05 08:00:00,3.492,2.79,54.1,8,4,0
2024-01-05 09:00:00,3.074,3.28,58.0,9,4,0
2024-01-05 10:00:00,4.506,4.63,52.2,10,4,0
2024-01-05 11:00:00,2.103,4.32,62.1,11,4,0
2024-01-05 12:00:00,2.2,5.3,63.5,12,4,0
2024-01-05 13:00:00,2.145,6.19,68.6,13,4,0
2024-01-05 14:00:00,1.923,6.26,73.5,14,4,0
2024-01-05 15:00:00,1.756,8.56,74.1,15,4,0
2024-01-05 16:00:00,1.607,9.7,76.0,16,4,0
2024-01-05 17:00:00,1.936,12.08,79.6,17,4,0
2024-01-05 18:00:00,2.827,11.2,76.7,18,4,0
2024-01-05 19:00:00,3.247,11.95,76.2,19,4,0
2024-01-05 20:00:00,3.596,11.91,80.0,20,4,0
2024-01-05 21:00:00,3.384,11.08,72.2,21,4,0
2024-01-05 22:00:00,2.521,12.02,74.5,22,4,0
2024-01-05 23:00:00,1.974,11.07,70.3,23,4,0
2024-01-06 00:00:00,1.41,10.17,59.8,0,5,1
2024-01-06 01:00:00,1.604,8.07,59.1,1,5,1
2024-01-06 02:00:00,1.429,8.29,61.1,2,5,1
2024-01-06 03:00:00,1.929,5.45,51.4,3,5,1
2024-01-06 04:00:00,2.055,5.56,50.6,4,5,1
2024-01-06 05:00:00,1.997,5.6,51.9,5,5,1
2024-01-06 06:00:00,2.441,2.98,52.4,6,5,1
2024-01-06 07:00:00,3.179,2.78,49.8,7,5,1
2024-01-06 08:00:00,3.636,3.03,50.2,8,5,1
2024-01-06 09:00:00,3.428,2.83,58.7,9,5,1
2024-01-06 10:00:00,5.599,2.65,62.7,10,5,1
2024-01-06 11:00:00,3.098,4.34,64.1,11,5,1
2024-01-06 12:00:00,2.866,4.6,65.3,12,5,1
2024-01-06 13:00:00,2.716,6.61,66.5,13,5,1
2024-01-06 14:00:00,2.557,6.94,70.0,14,5,1
2024-01-06 15:00:00,2.202,9.59,77.2,15,5,1
2024-01-06 16:00:00,2.248,9.28,79.2,16,5,1
2024-01-06 17:00:00,2.023,10.5,83.7,17,5,1
2024-01-06 18:00:00,2.838,11.9,82.0,18,5,1
2024-01-06 19:00:00,3.309,11.12,75.0,19,5,1
2024-01-06 20:00:00,3.501,12.15,81.1,20,5,1
2024-01-06 21:00:00,3.241,12.65,72.6,21,5,1
2024-01-06 22:00:00,2.679,10.46,71.3,22,5,1
2024-01-06 23:00:00,2.095,10.82,69.6,23,5,1
2024-01-07 00:00:00,1.419,9.94,71.0,0,6,1
2024-01-07 01:00:00,1.567,9.17,70.4,1,6,1
2024-01-07 02:00:00,1.879,6.8,59.3,2,6,1
2024-01-07 03:00:00,1.87,5.59,53.8,3,6,1
2024-01-07 04:00:00,1.898,5.61,53.6,4,6,1
2024-01-07 05:00:00,2.108,4.55,53.2,5,6,1
2024-01-07 06:00:00,2.582,3.81,49.0,6,6,1
2024-01-07 07:00:00,3.047,3.42,55.9,7,6,1
2024-01-07 08:00:00,3.75,2.65,52.7,8,6,1
2024-01-07 09:00:00,3.446,3.36,55.9,9,6,1
2024-01-07 10:00:00,3.193,3.85,59.5,10,6,1
2024-01-07 11:00:00,3.149,3.96,62.4,11,6,1
2024-01-07 12:00:00,2.715,6.45,67.5,12,6,1
2024-01-07 13:00:00,2.57,6.7,67.0,13,6,1
2024-01-07 14:00:00,2.285,6.87,70.8,14,6,1
2024-01-07 15:00:00,2.041,9.15,72.3,15,6,1
2024-01-07 16:00:00,2.127,9.26,79.3,16,6,1
2024-01-07 17:00:00,2.025,11.25,81.8,17,6,1
2024-01-07 18:00:00,2.481,12.19,81.4,18,6,1
2024-01-07 19:00:00,3.272,11.46,84.5,19,6,1
2024-01-07 20:00:00,4.96,12.69,78.0,20,6,1
2024-01-07 21:00:00,3.16,12.21,77.6,21,6,1
2024-01-07 22:00:00,2.633,12.01,69.2,22,6,1
2024-01-07 23:00:00,1.879,11.94,67.7,23,6,1
2024-01-08 00:00:00,1.631,9.72,67.1,0,0,0
2024-01-08 01:00:00,1.647,8.34,63.7,1,0,0
2024-01-08 02:00:00,1.759,7.1,56.6,2,0,0
2024-01-08 03:00:00,1.82,5.98,54.2,3,0,0
2024-01-08 04:00:00,4.32,5.34,47.5,4,0,0
2024-01-08 05:00:00,2.117,4.66,49.4,5,0,0
2024-01-08 06:00:00,2.48,3.91,52.7,6,0,0
2024-01-08 07:00:00,3.113,3.8,52.2,7,0,0
2024-01-08 08:00:00,3.45,3.16,53.5,8,0,0
2024-01-08 09:00:00,3.081,4.18,54.5,9,0,0
2024-01-08 10:00:00,2.343,3.6,57.5,10,0,0
2024-01-08 11:00:00,1.992,6.11,59.1,11,0,0
2024-01-08 12:00:00,2.011,5.79,67.1,12,0,0
2024-01-08 13:00:00,2.007,5.99,70.1,13,0,0
2024-01-08 14:00:00,1.877,7.03,74.0,14,0,0
2024-01-08 15:00:00,1.742,9.13,74.0,15,0,0
2024-01-08 16:00:00,1.756,9.8,71.5,16,0,0
2024-01-08 17:00:00,2.118,11.3,82.8,17,0,0
2024-01-08 18:00:00,2.512,11.87,78.6,18,0,0
2024-01-08 19:00:00,3.37,12.0,76.9,19,0,0
2024-01-08 20:00:00,3.559,11.69,80.1,20,0,0
2024-01-08 21:00:00,3.384,11.14,74.4,21,0,0
2024-01-08 22:00:00,2.583,11.33,75.7,22,0,0
2024-01-08 23:00:00,2.028,11.4,70.7,23,0,0
2024-01-09 00:00:00,1.538,10.09,67.1,0,1,0
2024-01-09 01:00:00,1.551,8.13,57.0,1,1,0
2024-01-09 02:00:00,1.743,7.82,61.1,2,1,0
2024-01-09 03:00:00,1.886,6.79,55.2,3,1,0
2024-01-09 04:00:00,1.925,4.95,50.9,4,1,0
2024-01-09 05:00:00,2.165,4.64,50.9,5,1,0
2024-01-09 06:00:00,2.442,3.87,44.7,6,1,0
2024-01-09 07:00:00,3.224,2.7,51.7,7,1,0
2024-01-09 08:00:00,3.266,3.46,48.9,8,1,0
2024-01-09 09:00:00,5.196,3.73,50.3,9,1,0
2024-01-09 10:00:00,2.417,4.5,52.9,10,1,0
2024-01-09 11:00:00,2.042,5.2,64.5,11,1,0
2024-01-09 12:00:00,1.964,4.68,63.1,12,1,0
2024-01-09 13:00:00,2.064,6.03,73.5,13,1,0
2024-01-09 14:00:00,1.734,8.07,70.9,14,1,0
2024-01-09 15:00:00,1.732,9.24,70.5,15,1,0
2024-01-09 16:00:00,1.642,10.33,74.6,16,1,0
2024-01-09 17:00:00,1.791,13.27,83.2,17,1,0
2024-01-09 18:00:00,2.69,12.02,79.5,18,1,0
2024-01-09 19:00:00,3.267,12.81,77.8,19,1,0
2024-01-09 20:00:00,3.569,12.86,78.5,20,1,0
2024-01-09 21:00:00,3.225,12.53,77.1,21,1,0
2024-01-09 22:00:00,2.529,11.5,75.9,22,1,0
2024-01-09 23:00:00,2.092,11.43,73.2,23,1,0
2024-01-10 00:00:00,1.531,9.59,63.9,0,2,0
2024-01-10 01:00:00,1.502,8.83,57.1,1,2,0
2024-01-10 02:00:00,1.827,7.52,56.3,2,2,0
2024-01-10 03:00:00,1.953,6.7,55.2,3,2,0
2024-01-10 04:00:00,1.775,6.95,49.1,4,2,0
2024-01-10 05:00:00,2.318,3.52,47.6,5,2,0
2024-01-10 06:00:00,2.427,4.34,51.0,6,2,0
2024-01-10 07:00:00,3.141,2.51,50.4,7,2,0
2024-01-10 08:00:00,3.426,3.05,52.1,8,2,0
2024-01-10 09:00:00,3.172,4.14,52.1,9,2,0
2024-01-10 10:00:00,2.277,3.98,56.8,10,2,0
2024-01-10 11:00:00,2.219,4.01,58.3,11,2,0
2024-01-10 12:00:00,2.038,5.17,67.7,12,2,0
2024-01-10 13:00:00,1.919,7.09,72.0,13,2,0
2024-01-10 14:00:00,1.984,7.41,67.0,14,2,0
2024-01-10 15:00:00,1.673,9.15,72.8,15,2,0
2024-01-10 16:00:00,1.592,10.14,73.5,16,2,0
2024-01-10 17:00:00,2.167,10.65,77.5,17,2,0
2024-01-10 18:00:00,2.646,13.05,79.7,18,2,0
2024-01-10 19:00:00,3.271,12.6,75.1,19,2,0
2024-01-10 20:00:00,3.575,11.16,75.2,20,2,0
2024-01-10 21:00:00,3.199,12.34,72.6,21,2,0
2024-01-10 22:00:00,2.658,11.38,73.1,22,2,0
2024-01-10 23:00:00,2.027,11.58,69.1,23,2,0
2024-01-11 00:00:00,1.468,9.66,62.8,0,3,0
2024-01-11 01:00:00,1.659,8.99,61.6,1,3,0
2024-01-11 02:00:00,1.671,8.2,55.9,2,3,0
2024-01-11 03:00:00,1.604,7.25,53.6,3,3,0
2024-01-11 04:00:00,1.866,4.93,57.0,4,3,0
2024-01-11 05:00:00,2.025,4.52,54.5,5,3,0
2024-01-11 06:00:00,2.462,3.73,46.1,6,3,0
2024-01-11 07:00:00,3.269,3.18,53.0,7,3,0
2024-01-11 08:00:00,3.381,4.48,54.4,8,3,0
2024-01-11 09:00:00,2.999,3.82,50.9,9,3,0
2024-01-11 10:00:00,2.414,3.27,60.0,10,3,0
2024-01-11 11:00:00,2.028,5.3,65.7,11,3,0
2024-01-11 12:00:00,1.966,6.96,61.6,12,3,0
2024-01-11 13:00:00,1.978,7.39,66.1,13,3,0
2024-01-11 14:00:00,2.029,7.03,75.6,14,3,0
2024-01-11 15:00:00,1.728,8.82,76.4,15,3,0
2024-01-11 16:00:00,1.689,10.96,79.6,16,3,0
2024-01-11 17:00:00,2.144,10.71,80.5,17,3,0
2024-01-11 18:00:00,2.536,12.12,81.2,18,3,0
2024-01-11 19:00:00,3.382,12.77,75.5,19,3,0
2024-01-11 20:00:00,3.593,11.91,81.1,20,3,0
2024-01-11 21:00:00,3.178,12.28,79.1,21,3,0
2024-01-11 22:00:00,2.901,9.92,71.8,22,3,0
2024-01-11 23:00:00,2.251,10.54,68.8,23,3,0
2024-01-12 00:00:00,3.123,10.08,60.4,0,4,0
2024-01-12 01:00:00,1.608,8.4,62.7,1,4,0
2024-01-12 02:00:00,1.589,8.96,59.2,2,4,0
2024-01-12 03:00:00,1.901,5.97,54.2,3,4,0
2024-01-12 04:00:00,1.998,5.48,55.4,4,4,0
2024-01-12 05:00:00,2.081,4.89,49.5,5,4,0
2024-01-12 06:00:00,2.377,4.97,51.7,6,4,0
2024-01-12 07:00:00,3.268,2.8,47.5,7,4,0
2024-01-12 08:00:00,3.358,4.21,51.9,8,4,0
2024-01-12 09:00:00,3.161,3.67,53.9,9,4,0
2024-01-12 10:00:00,2.352,3.53,58.2,10,4,0
2024-01-12 11:00:00,2.106,5.11,60.0,11,4,0
2024-01-12 12:00:00,2.016,5.89,64.6,12,4,0
2024-01-12 13:00:00,1.999,6.5,71.4,13,4,0
2024-01-12 14:00:00,1.819,8.07,71.2,14,4,0
2024-01-12 15:00:00,1.825,8.97,70.8,15,4,0
2024-01-12 16:00:00,1.548,10.36,83.2,16,4,0
2024-01-12 17:00:00,1.939,11.62,83.6,17,4,0
2024-01-12 18:00:00,2.701,12.89,76.1,18,4,0
2024-01-12 19:00:00,3.373,11.65,81.6,19,4,0
2024-01-12 20:00:00,3.223,13.83,76.5,20,4,0
2024-01-12 21:00:00,3.284,11.23,76.4,21,4,0
2024-01-12 22:00:00,2.468,11.87,73.4,22,4,0
2024-01-12 23:00:00,1.924,11.6,68.2,23,4,0
2024-01-13 00:00:00,1.23,10.49,62.6,0,5,1
2024-01-13 01:00:00,1.6,8.86,59.0,1,5,1
2024-01-13 02:00:00,1.593,7.95,54.8,2,5,1
2024-01-13 03:00:00,1.797,6.62,51.9,3,5,1
2024-01-13 04:00:00,1.767,5.48,51.8,4,5,1
2024-01-13 05:00:00,2.007,5.41,48.4,5,5,1
2024-01-13 06:00:00,2.407,4.41,52.0,6,5,1
2024-01-13 07:00:00,3.307,3.33,55.0,7,5,1
2024-01-13 08:00:00,3.697,4.14,50.3,8,5,1
2024-01-13 09:00:00,3.484,3.94,55.1,9,5,1
2024-01-13 10:00:00,3.086,4.69,59.0,10,5,1
2024-01-13 11:00:00,3.115,5.3,62.5,11,5,1
2024-01-13 12:00:00,4.393,5.36,65.2,12,5,1
2024-01-13 13:00:00,2.546,6.61,71.1,13,5,1
2024-01-13 14:00:00,2.297,8.57,73.9,14,5,1
2024-01-13 15:00:00,2.225,9.65,71.9,15,5,1
2024-01-13 16:00:00,1.916,10.36,80.6,16,5,1
2024-01-13 17:00:00,2.01,11.38,82.2,17,5,1
2024-01-13 18:00:00,2.424,12.8,77.7,18,5,1
2024-01-13 19:00:00,3.333,12.13,79.6,19,5,1
2024-01-13 20:00:00,3.559,12.97,80.0,20,5,1
2024-01-13 21:00:00,3.301,12.37,75.0,21,5,1
2024-01-13 22:00:00,4.369,11.91,75.7,22,5,1
2024-01-13 23:00:00,1.912,11.99,76.0,23,5,1
2024-01-14 00:00:00,1.345,10.9,62.6,0,6,1
2024-01-14 01:00:00,1.542,9.81,57.0,1,6,1
2024-01-14 02:00:00,1.518,8.95,58.4,2,6,1
2024-01-14 03:00:00,1.666,7.01,56.6,3,6,1
2024-01-14 04:00:00,1.795,6.33,51.3,4,6,1
2024-01-14 05:00:00,2.01,4.81,54.9,5,6,1
2024-01-14 06:00:00,2.391,4.48,46.0,6,6,1
2024-01-14 07:00:00,3.19,3.76,52.6,7,6,1
2024-01-14 08:00:00,3.622,3.74,50.2,8,6,1
2024-01-14 09:00:00,3.377,4.2,59.6,9,6,1
2024-01-14 10:00:00,3.198,3.8,63.5,10,6,1
2024-01-14 11:00:00,2.8,6.27,58.8,11,6,1
2024-01-14 12:00:00,2.907,5.35,63.4,12,6,1
2024-01-14 13:00:00,2.694,6.31,71.5,13,6,1
2024-01-14 14:00:00,2.157,8.9,71.3,14,6,1
2024-01-14 15:00:00,2.108,9.85,75.5,15,6,1
2024-01-14 16:00:00,1.824,10.84,78.1,16,6,1
2024-01-14 17:00:00,2.0,11.78,73.7,17,6,1
2024-01-14 18:00:00,2.688,12.11,80.0,18,6,1
2024-01-14 19:00:00,3.339,12.03,77.4,19,6,1
2024-01-14 20:00:00,3.5,12.78,76.5,20,6,1
2024-01-14 21:00:00,3.225,12.17,79.9,21,6,1
2024-01-14 22:00:00,2.621,12.72,68.7,22,6,1
2024-01-14 23:00:00,2.076,11.33,71.3,23,6,1
2024-01-15 00:00:00,1.471,10.0,64.2,0,0,0
2024-01-15 01:00:00,1.519,9.22,60.3,1,0,0
2024-01-15 02:00:00,1.474,8.5,59.9,2,0,0
2024-01-15 03:00:00,1.793,6.75,55.4,3,0,0
2024-01-15 04:00:00,1.886,5.52,53.7,4,0,0
2024-01-15 05:00:00,2.099,5.23,53.4,5,0,0
2024-01-15 06:00:00,2.434,4.52,49.0,6,0,0
2024-01-15 07:00:00,3.189,3.62,48.7,7,0,0
2024-01-15 08:00:00,3.385,3.49,48.8,8,0,0
2024-01-15 09:00:00,3.138,4.07,51.9,9,0,0
2024-01-15 10:00:00,2.334,3.52,66.3,10,0,0
2024-01-15 11:00:00,2.202,4.26,64.9,11,0,0
2024-01-15 12:00:00,1.931,5.61,60.9,12,0,0
2024-01-15 13:00:00,1.982,7.0,64.9,13,0,0
2024-01-15 14:00:00,1.658,8.48,73.9,14,0,0
2024-01-15 15:00:00,1.586,10.35,77.2,15,0,0
2024-01-15 16:00:00,1.585,11.07,79.6,16,0,0
2024-01-15 17:00:00,1.975,11.39,78.7,17,0,0
2024-01-15 18:00:00,2.502,12.2,79.6,18,0,0
2024-01-15 19:00:00,3.33,12.06,80.5,19,0,0
2024-01-15 20:00:00,3.487,12.81,78.2,20,0,0
2024-01-15 21:00:00,3.188,12.5,68.9,21,0,0
2024-01-15 22:00:00,2.572,12.42,71.8,22,0,0
2024-01-15 23:00:00,2.258,11.02,66.3,23,0,0
2024-01-16 00:00:00,1.541,10.89,65.5,0,1,0
2024-01-16 01:00:00,1.579,10.42,70.1,1,1,0
2024-01-16 02:00:00,1.692,8.28,58.6,2,1,0
2024-01-16 03:00:00,1.741,7.42,53.5,3,1,0
2024-01-16 04:00:00,1.622,6.51,54.8,4,1,0
2024-01-16 05:00:00,1.978,4.93,52.0,5,1,0
2024-01-16 06:00:00,2.361,4.59,51.3,6,1,0
2024-01-16 07:00:00,2.9,4.02,52.3,7,1,0
2024-01-16 08:00:00,3.314,3.92,58.2,8,1,0
2024-01-16 09:00:00,5.605,3.56,51.0,9,1,0
2024-01-16 10:00:00,2.296,4.49,58.9,10,1,0
2024-01-16 11:00:00,2.107,5.49,58.3,11,1,0
2024-01-16 12:00:00,2.025,7.0,66.7,12,1,0
2024-01-16 13:00:00,1.933,7.79,66.1,13,1,0
2024-01-16 14:00:00,1.643,9.68,71.2,14,1,0
2024-01-16 15:00:00,1.554,9.09,74.7,15,1,0
2024-01-16 16:00:00,1.401,11.17,80.9,16,1,0
2024-01-16 17:00:00,1.891,11.69,82.2,17,1,0
2024-01-16 18:00:00,2.402,13.61,76.3,18,1,0
2024-01-16 19:00:00,3.233,12.27,79.7,19,1,0
2024-01-16 20:00:00,3.447,12.4,75.9,20,1,0
2024-01-16 21:00:00,3.262,12.4,71.8,21,1,0
2024-01-16 22:00:00,2.661,11.04,71.8,22,1,0
2024-01-16 23:00:00,4.214,11.29,68.0,23,1,0
2024-01-17 00:00:00,3.524,10.22,72.3,0,2,0
2024-01-17 01:00:00,1.451,9.68,62.4,1,2,0
2024-01-17 02:00:00,1.663,8.63,53.4,2,2,0
2024-01-17 03:00:00,1.649,8.39,52.7,3,2,0
2024-01-17 04:00:00,4.249,6.76,55.1,4,2,0
2024-01-17 05:00:00,2.105,4.91,56.8,5,2,0
2024-01-17 06:00:00,2.516,4.01,45.2,6,2,0
2024-01-17 07:00:00,2.944,4.4,44.9,7,2,0
2024-01-17 08:00:00,3.453,3.16,57.6,8,2,0
2024-01-17 09:00:00,2.978,5.21,55.6,9,2,0
2024-01-17 10:00:00,2.214,5.27,54.9,10,2,0
2024-01-17 11:00:00,2.127,5.0,62.7,11,2,0
2024-01-17 12:00:00,2.104,5.19,57.1,12,2,0
2024-01-17 13:00:00,2.02,8.12,68.9,13,2,0
2024-01-17 14:00:00,1.7,8.41,73.5,14,2,0
2024-01-17 15:00:00,1.594,10.39,78.4,15,2,0
2024-01-17 16:00:00,1.581,9.77,74.9,16,2,0
2024-01-17 17:00:00,2.072,11.31,79.7,17,2,0
2024-01-17 18:00:00,2.442,12.39,77.2,18,2,0
2024-01-17 19:00:00,3.225,12.87,80.3,19,2,0
2024-01-17 20:00:00,3.451,12.73,75.3,20,2,0
2024-01-17 21:00:00,3.111,13.22,74.4,21,2,0
2024-01-17 22:00:00,2.506,11.76,69.5,22,2,0
2024-01-17 23:00:00,1.963,11.6,70.8,23,2,0
2024-01-18 00:00:00,1.54,10.83,67.6,0,3,0
2024-01-18 01:00:00,1.519,9.99,60.4,1,3,0
2024-01-18 02:00:00,1.654,8.95,57.6,2,3,0
2024-01-18 03:00:00,1.92,6.68,50.0,3,3,0
2024-01-18 04:00:00,1.927,5.36,51.1,4,3,0
2024-01-18 05:00:00,1.893,6.11,50.4,5,3,0
2024-01-18 06:00:00,2.417,4.84,57.9,6,3,0
2024-01-18 07:00:00,3.029,3.74,47.2,7,3,0
2024-01-18 08:00:00,3.282,4.97,56.4,8,3,0
2024-01-18 09:00:00,2.909,4.27,57.4,9,3,0
2024-01-18 10:00:00,2.303,5.36,58.3,10,3,0
2024-01-18 11:00:00,2.017,5.41,66.4,11,3,0
2024-01-18 12:00:00,1.908,7.54,66.1,12,3,0
2024-01-18 13:00:00,1.764,8.45,70.0,13,3,0
2024-01-18 14:00:00,1.857,8.41,72.3,14,3,0
2024-01-18 15:00:00,1.55,10.31,79.3,15,3,0
2024-01-18 16:00:00,1.527,11.21,81.3,16,3,0
2024-01-18 17:00:00,1.992,12.58,77.6,17,3,0
2024-01-18 18:00:00,2.674,11.9,76.0,18,3,0
2024-01-18 19:00:00,3.158,13.34,78.9,19,3,0
2024-01-18 20:00:00,3.281,13.72,75.6,20,3,0
2024-01-18 21:00:00,3.516,11.88,75.4,21,3,0
2024-01-18 22:00:00,2.76,11.78,76.2,22,3,0
2024-01-18 23:00:00,2.142,10.55,67.5,23,3,0
2024-01-19 00:00:00,1.405,10.69,64.9,0,4,0
2024-01-19 01:00:00,1.495,10.2,61.3,1,4,0
2024-01-19 02:00:00,1.516,9.51,60.0,2,4,0
2024-01-19 03:00:00,1.823,7.49,47.7,3,4,0
2024-01-19 04:00:00,1.768,7.34,50.2,4,4,0
2024-01-19 05:00:00,1.995,4.61,51.1,5,4,0
2024-01-19 06:00:00,2.433,3.7,53.6,6,4,0
2024-01-19 07:00:00,3.122,4.25,49.0,7,4,0
2024-01-19 08:00:00,3.499,4.36,46.4,8,4,0
2024-01-19 09:00:00,3.153,4.27,56.3,9,4,0
2024-01-19 10:00:00,2.438,3.5,55.6,10,4,0
2024-01-19 11:00:00,2.028,5.41,57.5,11,4,0
2024-01-19 12:00:00,1.789,5.61,63.1,12,4,0
2024-01-19 13:00:00,1.916,7.89,68.3,13,4,0
2024-01-19 14:00:00,1.785,8.87,70.7,14,4,0
